player,img_url
Fred,https://fbref.com/req/202302030/images/headshots/b853e0ad_2022.jpg
Anthony Martial,https://fbref.com/req/202302030/images/headshots/8b788c01_2022.jpg
Scott McTominay,https://fbref.com/req/202302030/images/headshots/d93c2511_2022.jpg
Wout Weghorst,https://fbref.com/req/202302030/images/headshots/c4e87b8b_2022.jpg
Harry Maguire,https://fbref.com/req/202302030/images/headshots/d8931174_2022.jpg
Marcel Sabitzer,https://fbref.com/req/202302030/images/headshots/e280527c_2022.jpg
Alejandro Garnacho,https://fbref.com/req/202302030/images/headshots/7aa8adfe_2022.jpg
Anthony Elanga,https://fbref.com/req/202302030/images/headshots/2fba6108_2022.jpg
Cristiano Ronaldo,https://fbref.com/req/202302030/images/headshots/dea698d9_2022.jpg
Donny van de Beek,https://fbref.com/req/202302030/images/headshots/50dc94ce_2022.jpg
Facundo Pellistri,https://fbref.com/req/202302030/images/headshots/ac7e7b1c_2022.jpg
Kobbie Mainoo,
Rhys Bennett,
Nathan Bishop,
Jack Butland,https://fbref.com/req/202302030/images/headshots/cc70a1d5_2022.jpg
Martin Dúbravka,https://fbref.com/req/202302030/images/headshots/3a949a25_2022.jpg
James Garner,https://fbref.com/req/202302030/images/headshots/4e015693_2022.jpg
Tom Heaton,https://fbref.com/req/202302030/images/headshots/a6de6361_2022.jpg
Zidane Iqbal,https://fbref.com/req/202302030/images/headshots/6fa3c28e_2022.jpg
Marc Jurado,
Matej Kovar,https://fbref.com/req/202302030/images/headshots/bc67a0e1_2022.jpg
Shola Shoretire,https://fbref.com/req/202302030/images/headshots/00f0482f_2022.jpg
Brandon Williams,https://fbref.com/req/202302030/images/headshots/5e74d6c8_2022.jpg
Kieran Trippier,https://fbref.com/req/202302030/images/headshots/21512407_2022.jpg
Nick Pope,https://fbref.com/req/202302030/images/headshots/4b40d9ca_2022.jpg
Fabian Schär,https://fbref.com/req/202302030/images/headshots/c8aa95da_2022.jpg
Sven Botman,https://fbref.com/req/202302030/images/headshots/ccce7025_2022.jpg
Dan Burn,https://fbref.com/req/202302030/images/headshots/b2d31e83_2022.jpg
Bruno Guimarães,https://fbref.com/req/202302030/images/headshots/82518f62_2022.jpg
Joe Willock,https://fbref.com/req/202302030/images/headshots/a3b03921_2022.jpg
Joelinton,https://fbref.com/req/202302030/images/headshots/c17bfb65_2022.jpg
Miguel Almirón,https://fbref.com/req/202302030/images/headshots/862a1c15_2022.jpg
Sean Longstaff,https://fbref.com/req/202302030/images/headshots/a2b105e0_2022.jpg
Callum Wilson,https://fbref.com/req/202302030/images/headshots/c596fcb0_2022.jpg
Alexander Isak,https://fbref.com/req/202302030/images/headshots/8e92be30_2022.jpg
Jacob Murphy,https://fbref.com/req/202302030/images/headshots/de112b84_2022.jpg
Allan Saint-Maximin,https://fbref.com/req/202302030/images/headshots/2b16cb1a_2022.jpg
Matt Targett,https://fbref.com/req/202302030/images/headshots/e514ab62_2022.jpg
Anthony Gordon,https://fbref.com/req/202302030/images/headshots/2bd83368_2022.jpg
Chris Wood,https://fbref.com/req/202302030/images/headshots/4e9a0555_2022.jpg
